2022-04-13T10:31:57.723Z;22023.33
2022-04-13T13:31:57.737Z;22002.76
2022-04-13T16:31:57.821Z;22024.19
2022-04-13T18:09:27.717Z;22016.76
2022-04-13T21:09:27.704Z;22032.76
2022-04-14T00:09:27.748Z;22043.68
2022-04-14T03:09:26.451Z;22067.46
2022-04-14T06:09:26.491Z;22063.13
2022-04-15T03:52:32.500Z;92014.13
2022-04-15T06:52:32.551Z;91987.34
2022-04-15T08:27:50.320Z;92018.77
2022-04-15T19:13:41.879Z;92023.82
2022-04-15T22:13:41.902Z;92049.25
2022-04-16T01:13:41.895Z;92066.40
2022-04-16T01:57:57.234Z;92073.20
2022-04-16T04:57:58.444Z;92071.25
